Combined L1 Data for 2024-05-06 (Despiked, Unpropagated) (GSM nT, km/s, cm^-3, K)
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T nSat satUsed
#START
2024  5  6  3  4  0   0    -4.44    12.62     5.11   -371.96    -23.85    -17.97    8.6500    66266.0  3  0
2024  5  6  3  5  0   0    -4.03    12.66     4.67   -370.94    -20.88    -17.94    8.7000    66226.0  3  0
2024  5  6  3  6  0   0    -4.08    12.80     4.53   -368.40    -20.23    -18.90    8.1800    67376.0  3  0
2024  5  6  3  7  0   0    -4.44    12.92     5.06   -368.31    -19.78    -25.29    7.4800    62391.0  3  0
2024  5  6  3  8  0   0    -4.73    12.07     5.21   -368.21    -19.34    -23.56    8.0500    73133.0  3  0
2024  5  6  3  9  0   0    -4.71    12.13     4.92   -367.43    -21.83    -21.31    8.4600    64238.0  3  0
2024  5  6  3 10  0   0    -4.38    12.32     4.90   -369.68    -24.32    -20.99    8.2900    70123.0  3  0
2024  5  6  3 11  0   0    -4.35    12.84     5.37   -370.23    -26.66    -24.26    8.5600    69451.0  3  0
2024  5  6  3 12  0   0    -4.07    12.58     5.57   -369.11    -25.99    -25.14    8.7800    63776.0  3  0
2024  5  6  3 13  0   0    -4.51    12.11     5.92   -370.30    -25.33    -20.20    9.1500    65106.0  3  0
2024  5  6  3 14  0   0    -4.01    12.75     5.05   -369.40    -25.00    -20.30    8.9200    71461.0  3  0
2024  5  6  3 15  0   0    -3.41    12.89     5.92   -368.68    -24.67    -21.70    8.9400    73063.0  3  0
2024  5  6  3 16  0   0    -4.23    11.99     6.52   -368.07    -27.10    -29.88    7.8900    77764.0  3  0
2024  5  6  3 17  0   0    -3.92    12.77     5.73   -366.75    -28.13    -29.21    8.1000    63864.0  3  0
2024  5  6  3 18  0   0    -4.05    12.70     5.79   -367.27    -29.16    -27.10    8.2500    66090.0  3  0
2024  5  6  3 19  0   0    -3.88    12.63     5.62   -367.70    -23.29    -24.64    7.6000    78639.0  3  0
2024  5  6  3 20  0   0    -4.18    12.89     5.50   -368.20    -17.41    -24.58    7.3000    75222.0  3  0
2024  5  6  3 21  0   0    -3.68    12.86     5.72   -368.69    -19.99    -24.52    7.0400    67203.0  3  0
2024  5  6  3 22  0   0    -3.90    12.58     6.13   -369.19    -22.56    -24.45    7.1200    66335.0  3  0
2024  5  6  3 23  0   0    -3.91    12.34     6.46   -369.35    -25.14    -24.47    7.8100    66943.0  3  0
2024  5  6  3 24  0   0    -3.71    12.49     6.73   -369.51    -35.22    -24.50    8.5800    51494.6  2  1
2024  5  6  3 25  0   0    -3.62    12.09     6.60   -369.41    -30.29    -24.98    9.8368    66943.0  3  0
2024  5  6  3 26  0   0    -3.91    11.78     6.84   -367.91    -33.24    -26.86    9.7904    69910.0  3  0
2024  5  6  3 27  0   0    -4.47    11.83     6.88   -367.50    -30.02    -26.22   10.0590    67353.0  3  0
2024  5  6  3 28  0   0    -4.85    11.66     6.96   -365.59    -26.80    -21.30   10.3276    64934.0  3  0
2024  5  6  3 29  0   0    -5.17    11.12     7.43   -368.16    -25.57    -27.42   10.2215    68732.0  3  0
2024  5  6  3 30  0   0    -5.55    11.41     7.20   -360.80    -24.33    -25.17   10.1154    72003.0  3  0
2024  5  6  3 31  0   0    -5.86    10.80     7.53   -363.50    -26.12    -22.60   10.8911    67576.0  3  0
2024  5  6  3 32  0   0    -5.97    10.69     7.22   -364.10    -26.40    -21.91   10.3962    68786.0  3  0
2024  5  6  3 33  0   0    -6.12    10.91     7.48   -364.10    -26.68    -24.91    9.9013    66901.0  3  0
2024  5  6  3 34  0   0    -5.74    10.91     7.51   -364.69    -29.66    -29.17   10.2021    63862.0  3  0
2024  5  6  3 35  0   0    -5.69    10.90     7.66   -363.63    -32.64    -25.62   10.5030    66444.0  3  0
2024  5  6  3 36  0   0    -5.64    11.31     6.93   -364.25    -34.95    -24.80   11.6463    68793.0  3  0
2024  5  6  3 37  0   0    -5.36    11.69     6.54   -364.56    -30.68    -23.97   11.5174    69601.0  3  0
2024  5  6  3 38  0   0    -5.90    10.14     7.96   -362.30    -20.79    -25.06   11.3885    69883.0  3  0
2024  5  6  3 39  0   0    -6.47    10.33     8.33   -361.50    -22.85    -28.82   11.3174    73066.0  3  0
2024  5  6  3 40  0   0    -6.12    11.09     7.13   -363.82    -24.91    -21.43   11.2463    77037.0  3  0
2024  5  6  3 41  0   0    -6.50    11.08     7.00   -367.40    -29.35    -13.60   11.5125    84390.0  3  0
2024  5  6  3 42  0   0    -5.73    11.61    -0.67   -362.41    -30.73     -8.63   11.6332    98059.0  3  0
2024  5  6  3 43  0   0    -5.50    11.87     4.59   -364.43    -32.09     -3.66   11.7539    93134.0  3  0
2024  5  6  3 44  0   0    -4.97    10.93     2.63   -366.96    -31.35      1.30   11.8745   106308.0  3  0
2024  5  6  3 45  0   0    -3.63    12.38     2.49   -382.80    -24.29      6.27   11.9952    81775.4  3  0
2024  5  6  3 46  0   0    -3.91    11.97    -0.04   -379.41    -19.93    -17.35   11.6552    64157.0  3  0
2024  5  6  3 47  0   0    -4.35    10.97     6.57   -374.47     -6.90    -17.90   12.3087    65178.0  3  0
2024  5  6  3 48  0   0    -3.69    12.43     3.76   -383.74    -13.50     -5.28   12.9622    63455.0  3  0
2024  5  6  3 49  0   0    -3.91    10.69     7.23   -374.00     -8.40     -9.10   12.7521    60196.0  3  0
2024  5  6  3 50  0   0    -4.12    10.62     7.53   -374.82    -11.30    -13.60   12.5420    61555.0  3  0
2024  5  6  3 51  0   0    -4.17    10.56     7.09   -376.71     -8.50    -19.12   12.3319    66779.0  3  0
2024  5  6  3 52  0   0    -4.31    11.05     6.68   -374.87    -24.96    -16.82    9.4861    51368.5  2  1
2024  5  6  3 53  0   0    -4.52    11.73     6.75   -373.46    -16.29    -16.40    9.3700    66779.0  3  0
2024  5  6  3 54  0   0    -4.61    11.54     6.74   -374.50    -16.48    -13.50    9.9300    64930.0  3  0
2024  5  6  3 55  0   0    -4.84    11.82     6.60   -373.30    -16.68    -11.46   11.3227    63806.0  3  0
2024  5  6  3 56  0   0    -4.77    11.76     6.26   -375.54    -23.77    -14.23   11.3193    64792.0  3  0
2024  5  6  3 57  0   0    -4.36    11.75     6.22   -374.86    -24.86    -16.99   11.3102    64817.0  3  0
